time_ms,amp,rssi
1782033412884,181.60934448242188,-48
1782033412891,180.96266174316406,-48
1782033412898,177.08351135253906,-48
1782033412906,179.6202392578125,-48
1782033412914,176.6294708251953,-48
1782033412924,175.60379028320312,-48
1782033412932,175.4390869140625,-48
1782033412939,177.13723754882812,-48
1782033412948,177.2862548828125,-48
1782033412957,176.8621826171875,-48
1782033412966,178.2218017578125,-48
1782033412975,178.85122680664062,-48
1782033412990,216.14588928222656,-45
1782033412999,223.9336395263672,-45
1782033413008,221.88523864746094,-45
1782033413017,224.56063842773438,-45
1782033413026,225.2220916748047,-45
1782033413034,225.2334442138672,-45
1782033413045,227.30209350585938,-45
1782033413054,228.7554168701172,-45
1782033413063,234.85667419433594,-45
1782033413072,230.848876953125,-45
1782033413080,230.06280517578125,-45
1782033413088,225.2396697998047,-45
1782033413097,218.24371337890625,-45
1782033413105,210.9146728515625,-46
1782033413116,208.109375,-46
1782033413127,205.41781616210938,-46
1782033413141,206.30401611328125,-46
1782033413155,209.9884796142578,-46
1782033413166,206.78512573242188,-46
1782033413177,203.6439971923828,-46
1782033413192,226.7512664794922,-47
1782033413204,190.58799743652344,-47
1782033413216,184.24517822265625,-48
1782033413228,178.9245147705078,-48
1782033413242,179.55616760253906,-48
1782033413253,178.3170166015625,-48
1782033413265,178.25401306152344,-48
1782033413277,178.22093200683594,-48
1782033413289,178.43020629882812,-48
1782033413302,178.8312225341797,-48
1782033413313,184.52427673339844,-48
1782033413327,186.63461303710938,-47
1782033413338,186.82449340820312,-47
1782033413349,189.47799682617188,-47
1782033413363,185.04396057128906,-47
1782033413375,185.00279235839844,-47
1782033413388,182.58360290527344,-47
1782033413399,182.31053161621094,-47
1782033413411,183.30569458007812,-47
1782033413423,180.4906005859375,-47
1782033413436,181.5602569580078,-47
1782033413447,183.41978454589844,-47
1782033413460,182.8495635986328,-47
1782033413472,184.46749877929688,-47
1782033413484,184.76229858398438,-47
1782033413497,215.71453857421875,-47
1782033413509,185.422607421875,-47
1782033413521,183.33087158203125,-47
1782033413534,183.37733459472656,-47
1782033413547,182.62957763671875,-47
1782033413561,178.401611328125,-47
1782033413573,177.98434448242188,-47
1782033413584,177.1663360595703,-47
1782033413598,176.4778289794922,-47
1782033413610,176.38113403320312,-47
1782033413624,174.80328369140625,-47
1782033413634,172.70367431640625,-47
1782033413645,172.93898010253906,-47
1782033413659,173.00413513183594,-47
1782033413672,174.38844299316406,-47
1782033413686,172.0240020751953,-47
1782033413696,173.55918884277344,-48
1782033413711,174.53346252441406,-47
1782033413724,174.99508666992188,-47
1782033413736,174.24703979492188,-47
1782033413746,175.11085510253906,-47
1782033413759,175.87620544433594,-47
1782033413771,176.44810485839844,-47
1782033413782,175.42935180664062,-47
1782033413796,177.46180725097656,-47
1782033413807,207.6980743408203,-47
1782033413819,177.9010772705078,-47
1782033413830,178.57533264160156,-47
1782033413845,176.9988555908203,-47
1782033413858,179.6864013671875,-47
1782033413870,177.1111297607422,-47
1782033413879,177.79953002929688,-47
1782033413893,178.56346130371094,-47
1782033413905,178.3980255126953,-47
1782033413917,176.9431915283203,-47
1782033413929,179.54946899414062,-47
1782033413942,177.22938537597656,-47
1782033413955,178.75833129882812,-47
1782033413965,174.772216796875,-47
1782033413977,174.95022583007812,-47
1782033413988,177.46669006347656,-47
1782033414001,175.8669891357422,-47
1782033414013,172.82481384277344,-47
1782033414024,177.583251953125,-47
1782033414037,175.22396850585938,-47
1782033414049,175.79257202148438,-47
1782033414061,176.74900817871094,-47
1782033414071,176.36196899414062,-47
1782033414082,176.38514709472656,-47
1782033414096,177.2409210205078,-47
1782033414109,175.94752502441406,-47
1782033414121,176.2537078857422,-47
1782033414132,178.74847412109375,-47
1782033414146,175.72406005859375,-47
1782033414157,177.1319580078125,-47
1782033414168,178.79620361328125,-47
1782033414182,179.87350463867188,-47
1782033414194,177.67039489746094,-47
1782033414207,178.1836395263672,-47
1782033414219,182.67127990722656,-47
1782033414231,182.5478515625,-47
1782033414245,182.89059448242188,-47
1782033414257,181.95106506347656,-47
1782033414271,179.95120239257812,-47
1782033414282,184.17727661132812,-47
1782033414295,183.05856323242188,-47
1782033414308,183.5486602783203,-47
1782033414321,184.8334197998047,-47
1782033414334,185.78826904296875,-47
1782033414344,184.5259246826172,-47
