time_ms,amp,rssi
1782112356825,6.584280490875244,-69
1782112356828,6.547996997833252,-69
1782112356831,6.628050804138184,-69
1782112356834,6.467298984527588,-69
1782112356837,6.581018447875977,-69
1782112356839,6.583495140075684,-69
1782112356842,6.547599792480469,-69
1782112356844,6.547187328338623,-69
1782112356847,6.710154056549072,-69
1782112356850,6.792804718017578,-69
1782112356853,8.973601341247559,-69
1782112356855,6.655074596405029,-69
1782112356858,6.643076419830322,-69
1782112356861,6.785566329956055,-69
1782112356863,6.866276741027832,-69
1782112356866,6.586979389190674,-69
1782112356869,6.590370178222656,-69
1782112356871,6.505581855773926,-69
1782112356874,6.644424915313721,-69
1782112356877,6.532007217407227,-69
1782112356880,6.693634033203125,-69
1782112356882,6.844651699066162,-69
1782112356885,6.489497184753418,-69
1782112356887,9.19802474975586,-69
1782112356890,6.745038032531738,-69
1782112356893,6.714332103729248,-69
1782112356895,6.63294792175293,-69
1782112356898,6.713561058044434,-69
1782112356901,6.585265636444092,-69
1782112356903,6.787697792053223,-69
1782112356906,6.567425727844238,-69
1782112356908,6.675050735473633,-69
1782112356911,6.782345771789551,-69
1782112356913,6.894449710845947,-69
1782112356916,6.571815490722656,-69
1782112356918,6.948177337646484,-69
1782112356921,6.504525184631348,-69
1782112356924,8.32883071899414,-69
1782112356927,6.59609842300415,-69
1782112356929,6.54656982421875,-69
1782112356932,6.5699849128723145,-70
1782112356934,6.507364749908447,-69
1782112356937,6.79760217666626,-69
1782112356939,6.570431709289551,-69
1782112356942,6.485041618347168,-69
1782112356945,6.634005546569824,-69
1782112356947,6.605513095855713,-69
1782112356949,6.557100296020508,-69
1782112356952,6.533622741699219,-69
1782112356954,6.562598705291748,-69
1782112356957,6.426482677459717,-69
1782112356960,6.825681209564209,-69
1782112356963,6.60032844543457,-69
1782112356965,6.788143634796143,-69
1782112356968,6.441143989562988,-69
1782112356970,6.572893142700195,-69
1782112356972,6.621686935424805,-69
1782112356975,6.751888751983643,-69
1782112356977,6.448343276977539,-69
1782112356980,6.754599094390869,-69
1782112356982,6.592852592468262,-69
1782112356985,6.601356029510498,-69
1782112356987,6.6458940505981445,-69
1782112356990,6.605851173400879,-69
1782112356993,6.487123489379883,-69
1782112356995,6.61698579788208,-69
1782112356998,6.791667461395264,-69
1782112357000,6.540050506591797,-69
1782112357003,6.5609517097473145,-69
1782112357005,6.723270893096924,-69
1782112357007,6.54412841796875,-69
1782112357010,6.56830358505249,-69
1782112357013,6.584240913391113,-69
1782112357015,6.515163898468018,-69
1782112357017,6.5214409828186035,-69
1782112357020,6.430018424987793,-70
1782112357022,6.562011241912842,-69
1782112357025,6.511663913726807,-69
1782112357028,6.501143455505371,-69
1782112357030,6.81591272354126,-69
1782112357032,6.302312850952148,-70
1782112357035,6.426077365875244,-69
1782112357037,6.523495674133301,-70
1782112357040,6.6070075035095215,-70
1782112357042,6.455081462860107,-70
1782112357045,6.592968463897705,-70
1782112357047,6.5369768142700195,-70
1782112357050,6.547201633453369,-70
1782112357052,6.5806450843811035,-70
