time_ms,amp,rssi
1782110079109,11.680253028869629,-69
1782110079115,11.712409973144531,-68
1782110079119,11.687784194946289,-69
1782110079124,11.600976943969727,-68
1782110079127,11.702947616577148,-69
1782110079131,11.536016464233398,-68
1782110079134,11.605381965637207,-68
1782110079137,11.620190620422363,-69
1782110079140,11.793412208557129,-69
1782110079143,11.713183403015137,-69
1782110079146,11.863849639892578,-69
1782110079149,11.813398361206055,-69
1782110079151,11.710454940795898,-69
1782110079154,11.906927108764648,-68
1782110079157,11.82520580291748,-69
1782110079160,11.751632690429688,-69
1782110079162,11.655608177185059,-69
1782110079165,11.506612777709961,-69
1782110079168,11.539669036865234,-69
1782110079171,11.599432945251465,-69
1782110079173,11.648120880126953,-69
1782110079177,11.447587013244629,-68
1782110079179,11.656234741210938,-69
1782110079182,11.682106018066406,-69
1782110079184,11.83971118927002,-68
1782110079187,11.610363960266113,-69
1782110079190,11.420018196105957,-69
1782110079192,11.553728103637695,-69
1782110079195,11.818090438842773,-69
1782110079198,11.683757781982422,-68
1782110079200,11.547801971435547,-68
1782110079203,11.5636568069458,-69
1782110079206,11.672639846801758,-69
1782110079208,11.758853912353516,-69
1782110079211,11.584705352783203,-68
1782110079214,11.546318054199219,-69
1782110079217,11.856513977050781,-69
1782110079219,11.612940788269043,-68
1782110079222,11.721273422241211,-69
1782110079225,11.694043159484863,-68
1782110079228,11.446069717407227,-69
1782110079231,11.51876163482666,-69
1782110079233,11.670735359191895,-69
1782110079236,11.674055099487305,-69
1782110079239,11.594732284545898,-69
1782110079241,11.678241729736328,-69
1782110079244,11.565138816833496,-69
1782110079247,11.628966331481934,-68
1782110079249,13.0611572265625,-69
1782110079252,11.687873840332031,-69
1782110079255,11.647699356079102,-69
1782110079258,11.720649719238281,-69
1782110079260,11.739701271057129,-69
1782110079263,11.664307594299316,-69
1782110079266,11.685506820678711,-68
1782110079268,11.738987922668457,-69
1782110079271,11.634523391723633,-69
1782110079274,12.853015899658203,-69
1782110079276,11.857958793640137,-69
1782110079279,11.70728588104248,-69
1782110079282,11.79232406616211,-68
1782110079285,11.706649780273438,-68
1782110079288,11.585826873779297,-69
1782110079291,11.742696762084961,-68
1782110079293,11.54145336151123,-69
1782110079296,11.702081680297852,-69
1782110079299,11.73414134979248,-68
1782110079302,11.66805648803711,-68
