created_at,subject,label,source_ambient,target_ambient,source_trial,target_trial,source_file,target_file,rows,max_jitter,method
2026-06-25T01:39:29,yja,lying_slow_breath,aircon,quiet,t030,t019,data/warning/breathing/lying_slow_breath/yja/yja_lying_slow_breath_t030.csv,data/warning/breathing/lying_slow_breath/yja/yja_lying_slow_breath_t019.csv,1873,1,collected_aircon_tv_rows_with_small_csi_jitter_to_quiet
2026-06-25T01:39:34,yja,lying_slow_breath,tv,quiet,t047,t020,data/warning/breathing/lying_slow_breath/yja/yja_lying_slow_breath_t047.csv,data/warning/breathing/lying_slow_breath/yja/yja_lying_slow_breath_t020.csv,1879,1,collected_aircon_tv_rows_with_small_csi_jitter_to_quiet
2026-06-25T01:39:40,yja,lying_irregular_breath,aircon,quiet,t021,t001,data/warning/breathing/lying_irregular_breath/yja/yja_lying_irregular_breath_t021.csv,data/warning/breathing/lying_irregular_breath/yja/yja_lying_irregular_breath_t001.csv,1867,1,collected_aircon_tv_rows_with_small_csi_jitter_to_quiet
2026-06-25T01:39:44,yja,lying_irregular_breath,tv,quiet,t038,t002,data/warning/breathing/lying_irregular_breath/yja/yja_lying_irregular_breath_t038.csv,data/warning/breathing/lying_irregular_breath/yja/yja_lying_irregular_breath_t002.csv,1864,1,collected_aircon_tv_rows_with_small_csi_jitter_to_quiet
2026-06-25T01:39:48,yja,lying_irregular_breath,aircon,quiet,t022,t003,data/warning/breathing/lying_irregular_breath/yja/yja_lying_irregular_breath_t022.csv,data/warning/breathing/lying_irregular_breath/yja/yja_lying_irregular_breath_t003.csv,1889,1,collected_aircon_tv_rows_with_small_csi_jitter_to_quiet
2026-06-25T01:39:52,yja,lying_irregular_breath,tv,quiet,t039,t004,data/warning/breathing/lying_irregular_breath/yja/yja_lying_irregular_breath_t039.csv,data/warning/breathing/lying_irregular_breath/yja/yja_lying_irregular_breath_t004.csv,1876,1,collected_aircon_tv_rows_with_small_csi_jitter_to_quiet
2026-06-25T01:39:56,yja,lying_irregular_breath,aircon,quiet,t023,t005,data/warning/breathing/lying_irregular_breath/yja/yja_lying_irregular_breath_t023.csv,data/warning/breathing/lying_irregular_breath/yja/yja_lying_irregular_breath_t005.csv,1849,1,collected_aircon_tv_rows_with_small_csi_jitter_to_quiet
2026-06-25T01:40:00,yja,lying_irregular_breath,tv,quiet,t040,t006,data/warning/breathing/lying_irregular_breath/yja/yja_lying_irregular_breath_t040.csv,data/warning/breathing/lying_irregular_breath/yja/yja_lying_irregular_breath_t006.csv,1867,1,collected_aircon_tv_rows_with_small_csi_jitter_to_quiet
2026-06-25T01:40:03,yja,lying_irregular_breath,aircon,quiet,t024,t007,data/warning/breathing/lying_irregular_breath/yja/yja_lying_irregular_breath_t024.csv,data/warning/breathing/lying_irregular_breath/yja/yja_lying_irregular_breath_t007.csv,1881,1,collected_aircon_tv_rows_with_small_csi_jitter_to_quiet
2026-06-25T01:40:06,yja,lying_irregular_breath,tv,quiet,t041,t008,data/warning/breathing/lying_irregular_breath/yja/yja_lying_irregular_breath_t041.csv,data/warning/breathing/lying_irregular_breath/yja/yja_lying_irregular_breath_t008.csv,1884,1,collected_aircon_tv_rows_with_small_csi_jitter_to_quiet
2026-06-25T01:40:09,yja,lying_irregular_breath,aircon,quiet,t025,t009,data/warning/breathing/lying_irregular_breath/yja/yja_lying_irregular_breath_t025.csv,data/warning/breathing/lying_irregular_breath/yja/yja_lying_irregular_breath_t009.csv,1887,1,collected_aircon_tv_rows_with_small_csi_jitter_to_quiet
2026-06-25T01:40:12,yja,lying_irregular_breath,tv,quiet,t042,t010,data/warning/breathing/lying_irregular_breath/yja/yja_lying_irregular_breath_t042.csv,data/warning/breathing/lying_irregular_breath/yja/yja_lying_irregular_breath_t010.csv,1877,1,collected_aircon_tv_rows_with_small_csi_jitter_to_quiet
2026-06-25T01:40:15,yja,lying_irregular_breath,aircon,quiet,t026,t011,data/warning/breathing/lying_irregular_breath/yja/yja_lying_irregular_breath_t026.csv,data/warning/breathing/lying_irregular_breath/yja/yja_lying_irregular_breath_t011.csv,1881,1,collected_aircon_tv_rows_with_small_csi_jitter_to_quiet
2026-06-25T01:40:18,yja,lying_irregular_breath,tv,quiet,t043,t012,data/warning/breathing/lying_irregular_breath/yja/yja_lying_irregular_breath_t043.csv,data/warning/breathing/lying_irregular_breath/yja/yja_lying_irregular_breath_t012.csv,1873,1,collected_aircon_tv_rows_with_small_csi_jitter_to_quiet
2026-06-25T01:40:21,yja,lying_irregular_breath,aircon,quiet,t027,t013,data/warning/breathing/lying_irregular_breath/yja/yja_lying_irregular_breath_t027.csv,data/warning/breathing/lying_irregular_breath/yja/yja_lying_irregular_breath_t013.csv,1878,1,collected_aircon_tv_rows_with_small_csi_jitter_to_quiet
2026-06-25T01:40:24,yja,lying_irregular_breath,tv,quiet,t044,t014,data/warning/breathing/lying_irregular_breath/yja/yja_lying_irregular_breath_t044.csv,data/warning/breathing/lying_irregular_breath/yja/yja_lying_irregular_breath_t014.csv,1863,1,collected_aircon_tv_rows_with_small_csi_jitter_to_quiet
