created_at,subject,target_label,ambient,target_trial,source_file,source_rows,output_rows,tail_seconds,tail_frames,method
2026-06-23T01:03:05,yja,post_chair_fall_inactive,music,t026,data/danger/fall/chair_sitting_to_stand_fall/yja/yja_chair_sitting_to_stand_fall_t025.csv,987,2001,20.000,2.082,208,fall_10s_plus_repeated_tail_to_20s
2026-06-23T01:03:06,yja,post_chair_fall_inactive,music,t027,data/danger/fall/chair_sitting_to_stand_fall/yja/yja_chair_sitting_to_stand_fall_t026.csv,990,2001,20.000,1.573,157,fall_10s_plus_repeated_tail_to_20s
2026-06-23T13:28:25,yja,post_chair_fall_inactive,aircon,t009,data/danger/fall/chair_sitting_to_stand_fall/yja/yja_chair_sitting_to_stand_fall_t009.csv,984,2001,20.000,1.927,193,fall_10s_plus_repeated_tail_to_20s
2026-06-23T13:28:26,yja,post_chair_fall_inactive,aircon,t010,data/danger/fall/chair_sitting_to_stand_fall/yja/yja_chair_sitting_to_stand_fall_t010.csv,969,2001,20.000,2.875,288,fall_10s_plus_repeated_tail_to_20s
2026-06-23T13:28:28,yja,post_chair_fall_inactive,aircon,t011,data/danger/fall/chair_sitting_to_stand_fall/yja/yja_chair_sitting_to_stand_fall_t011.csv,938,2001,20.000,2.091,209,fall_10s_plus_repeated_tail_to_20s
2026-06-23T13:28:30,yja,post_chair_fall_inactive,aircon,t012,data/danger/fall/chair_sitting_to_stand_fall/yja/yja_chair_sitting_to_stand_fall_t012.csv,990,2001,20.000,2.082,208,fall_10s_plus_repeated_tail_to_20s
2026-06-23T13:28:31,yja,post_chair_fall_inactive,aircon,t013,data/danger/fall/chair_sitting_to_stand_fall/yja/yja_chair_sitting_to_stand_fall_t013.csv,986,2001,20.000,1.573,157,fall_10s_plus_repeated_tail_to_20s
2026-06-23T13:28:33,yja,post_chair_fall_inactive,aircon,t014,data/danger/fall/chair_sitting_to_stand_fall/yja/yja_chair_sitting_to_stand_fall_t014.csv,984,2001,20.000,2.820,282,fall_10s_plus_repeated_tail_to_20s
2026-06-23T13:28:35,yja,post_chair_fall_inactive,aircon,t015,data/danger/fall/chair_sitting_to_stand_fall/yja/yja_chair_sitting_to_stand_fall_t015.csv,973,2001,20.000,1.710,171,fall_10s_plus_repeated_tail_to_20s
2026-06-23T23:06:40,yja,post_bed_fall_inactive,quiet,t001,data/danger/fall/bed_sitting_to_stand_fall/yja/yja_bed_sitting_to_stand_fall_t001.csv,976,2001,20.000,1.927,193,fall_10s_plus_repeated_tail_to_20s
2026-06-23T23:06:42,yja,post_bed_fall_inactive,quiet,t002,data/danger/fall/bed_lying_to_stand_fall/yja/yja_bed_lying_to_stand_fall_t001.csv,989,2001,20.000,2.875,288,fall_10s_plus_repeated_tail_to_20s
2026-06-23T23:06:44,yja,post_bed_fall_inactive,quiet,t003,data/danger/fall/bed_stand_to_lie_fall/yja/yja_bed_stand_to_lie_fall_t001.csv,962,2001,20.000,2.091,209,fall_10s_plus_repeated_tail_to_20s
2026-06-23T23:06:46,yja,post_bed_fall_inactive,quiet,t004,data/danger/fall/bed_sitting_to_stand_fall/yja/yja_bed_sitting_to_stand_fall_t002.csv,975,2001,20.000,2.082,208,fall_10s_plus_repeated_tail_to_20s
2026-06-23T23:06:47,yja,post_bed_fall_inactive,quiet,t005,data/danger/fall/bed_lying_to_stand_fall/yja/yja_bed_lying_to_stand_fall_t002.csv,987,2001,20.000,1.573,157,fall_10s_plus_repeated_tail_to_20s
2026-06-23T23:06:49,yja,post_bed_fall_inactive,quiet,t006,data/danger/fall/bed_stand_to_lie_fall/yja/yja_bed_stand_to_lie_fall_t002.csv,971,2001,20.000,2.820,282,fall_10s_plus_repeated_tail_to_20s
2026-06-23T23:06:51,yja,post_bed_fall_inactive,quiet,t007,data/danger/fall/bed_sitting_to_stand_fall/yja/yja_bed_sitting_to_stand_fall_t003.csv,967,2001,20.000,1.710,171,fall_10s_plus_repeated_tail_to_20s
2026-06-23T23:06:53,yja,post_bed_fall_inactive,quiet,t008,data/danger/fall/bed_lying_to_stand_fall/yja/yja_bed_lying_to_stand_fall_t003.csv,978,2001,20.000,2.601,260,fall_10s_plus_repeated_tail_to_20s
2026-06-23T23:07:29,yja,post_bed_fall_inactive,aircon,t009,data/danger/fall/bed_sitting_to_stand_fall/yja/yja_bed_sitting_to_stand_fall_t009.csv,972,2001,20.000,1.927,193,fall_10s_plus_repeated_tail_to_20s
2026-06-23T23:07:31,yja,post_bed_fall_inactive,aircon,t010,data/danger/fall/bed_lying_to_stand_fall/yja/yja_bed_lying_to_stand_fall_t009.csv,985,2001,20.000,2.875,288,fall_10s_plus_repeated_tail_to_20s
2026-06-23T23:07:33,yja,post_bed_fall_inactive,aircon,t011,data/danger/fall/bed_stand_to_lie_fall/yja/yja_bed_stand_to_lie_fall_t009.csv,984,2001,20.000,2.091,209,fall_10s_plus_repeated_tail_to_20s
2026-06-23T23:07:35,yja,post_bed_fall_inactive,aircon,t012,data/danger/fall/bed_sitting_to_stand_fall/yja/yja_bed_sitting_to_stand_fall_t010.csv,971,2001,20.000,2.082,208,fall_10s_plus_repeated_tail_to_20s
2026-06-23T23:07:37,yja,post_bed_fall_inactive,aircon,t013,data/danger/fall/bed_lying_to_stand_fall/yja/yja_bed_lying_to_stand_fall_t010.csv,992,2001,20.000,1.573,157,fall_10s_plus_repeated_tail_to_20s
