created_at,subject,label,source_ambient,target_ambient,source_trial,reference_trial,target_trial,source_file,reference_file,target_file,rows,source_mean_abs,reference_mean_abs,scale,residual_weight,method
2026-06-24T13:07:22,yja,lying_fast_breath,quiet,tv,t001,t038,t046,data/warning/breathing/lying_fast_breath/yja/yja_lying_fast_breath_t001.csv,data/warning/breathing/lying_fast_breath/yja/yja_lying_fast_breath_t038.csv,data/warning/breathing/lying_fast_breath/yja/yja_lying_fast_breath_t046.csv,1877,18.925,24.140,1.276,0.150,quiet_scaled_plus_tv_residual
2026-06-24T13:07:32,yja,lying_fast_breath,quiet,tv,t002,t039,t047,data/warning/breathing/lying_fast_breath/yja/yja_lying_fast_breath_t002.csv,data/warning/breathing/lying_fast_breath/yja/yja_lying_fast_breath_t039.csv,data/warning/breathing/lying_fast_breath/yja/yja_lying_fast_breath_t047.csv,1869,19.401,23.066,1.189,0.150,quiet_scaled_plus_tv_residual
2026-06-24T13:07:40,yja,lying_fast_breath,quiet,tv,t003,t040,t048,data/warning/breathing/lying_fast_breath/yja/yja_lying_fast_breath_t003.csv,data/warning/breathing/lying_fast_breath/yja/yja_lying_fast_breath_t040.csv,data/warning/breathing/lying_fast_breath/yja/yja_lying_fast_breath_t048.csv,1846,19.960,23.017,1.153,0.150,quiet_scaled_plus_tv_residual
2026-06-24T13:07:48,yja,lying_fast_breath,quiet,tv,t004,t041,t049,data/warning/breathing/lying_fast_breath/yja/yja_lying_fast_breath_t004.csv,data/warning/breathing/lying_fast_breath/yja/yja_lying_fast_breath_t041.csv,data/warning/breathing/lying_fast_breath/yja/yja_lying_fast_breath_t049.csv,1852,20.282,22.972,1.133,0.150,quiet_scaled_plus_tv_residual
2026-06-24T13:07:56,yja,lying_fast_breath,quiet,tv,t005,t042,t050,data/warning/breathing/lying_fast_breath/yja/yja_lying_fast_breath_t005.csv,data/warning/breathing/lying_fast_breath/yja/yja_lying_fast_breath_t042.csv,data/warning/breathing/lying_fast_breath/yja/yja_lying_fast_breath_t050.csv,1866,20.842,22.681,1.088,0.150,quiet_scaled_plus_tv_residual
2026-06-24T13:08:03,yja,lying_fast_breath,quiet,tv,t006,t043,t051,data/warning/breathing/lying_fast_breath/yja/yja_lying_fast_breath_t006.csv,data/warning/breathing/lying_fast_breath/yja/yja_lying_fast_breath_t043.csv,data/warning/breathing/lying_fast_breath/yja/yja_lying_fast_breath_t051.csv,1859,18.514,22.687,1.225,0.150,quiet_scaled_plus_tv_residual
2026-06-24T13:08:09,yja,lying_fast_breath,quiet,tv,t007,t044,t052,data/warning/breathing/lying_fast_breath/yja/yja_lying_fast_breath_t007.csv,data/warning/breathing/lying_fast_breath/yja/yja_lying_fast_breath_t044.csv,data/warning/breathing/lying_fast_breath/yja/yja_lying_fast_breath_t052.csv,1872,18.205,22.701,1.247,0.150,quiet_scaled_plus_tv_residual
2026-06-24T13:08:16,yja,lying_fast_breath,quiet,tv,t008,t045,t053,data/warning/breathing/lying_fast_breath/yja/yja_lying_fast_breath_t008.csv,data/warning/breathing/lying_fast_breath/yja/yja_lying_fast_breath_t045.csv,data/warning/breathing/lying_fast_breath/yja/yja_lying_fast_breath_t053.csv,1851,18.148,22.854,1.259,0.150,quiet_scaled_plus_tv_residual
