time_ms,amp,rssi
1782102845458,26.95452117919922,-49
1782102845464,26.30510902404785,-49
1782102845471,26.837549209594727,-49
1782102845478,26.686748504638672,-49
1782102845485,26.991737365722656,-49
1782102845491,26.2672119140625,-49
1782102845498,26.443485260009766,-49
1782102845505,26.976852416992188,-49
1782102845511,26.980384826660156,-49
1782102845518,26.579071044921875,-49
1782102845525,27.016843795776367,-49
1782102845532,26.790050506591797,-50
1782102845539,26.90665626525879,-49
1782102845546,26.454181671142578,-49
1782102845559,18.696517944335938,-52
1782102845566,18.558860778808594,-52
1782102845573,18.56914710998535,-52
1782102845580,18.47718620300293,-51
1782102845586,18.754222869873047,-51
1782102845593,18.847415924072266,-52
1782102845599,18.639659881591797,-51
1782102845606,18.965839385986328,-51
1782102845613,18.672819137573242,-51
1782102845620,18.758018493652344,-51
1782102845627,18.776105880737305,-51
1782102845633,18.89620590209961,-51
1782102845641,18.79067039489746,-51
1782102845650,18.732885360717773,-51
1782102845661,19.001888275146484,-51
1782102845671,18.821863174438477,-51
1782102845684,18.79634666442871,-51
1782102845694,18.889129638671875,-51
1782102845705,19.089635848999023,-51
1782102845715,18.849145889282227,-51
1782102845729,18.68992042541504,-51
1782102845739,19.00355339050293,-51
1782102845749,18.866878509521484,-51
1782102845760,18.799942016601562,-51
1782102845770,19.0140438079834,-51
1782102845781,19.109722137451172,-51
1782102845792,19.148008346557617,-51
1782102845807,19.041410446166992,-51
1782102845816,19.173038482666016,-51
1782102845827,19.524017333984375,-51
1782102845836,18.9886474609375,-51
1782102845847,19.217500686645508,-51
1782102845859,19.55882453918457,-51
1782102845869,19.125877380371094,-51
1782102845880,19.126445770263672,-51
1782102845894,19.514724731445312,-51
1782102845904,19.635265350341797,-51
1782102845918,19.193464279174805,-51
1782102845928,19.448928833007812,-51
1782102845939,19.168354034423828,-51
1782102845958,19.37752914428711,-51
1782102845969,19.036413192749023,-51
1782102845980,19.45612144470215,-51
1782102845991,19.399349212646484,-52
1782102846001,19.372528076171875,-51
1782102846013,19.23293113708496,-52
1782102846024,19.92601203918457,-51
1782102846035,19.37324333190918,-52
1782102846044,19.325456619262695,-52
1782102846060,19.22455406188965,-52
1782102846068,19.42238426208496,-52
1782102846083,19.248310089111328,-52
1782102846093,19.015480041503906,-52
1782102846102,19.20569610595703,-52
1782102846112,19.504924774169922,-52
1782102846122,19.534582138061523,-52
1782102846135,19.210596084594727,-52
1782102846148,19.098543167114258,-52
1782102846160,19.331403732299805,-52
1782102846169,19.716066360473633,-52
1782102846177,19.562837600708008,-52
1782102846188,19.78472137451172,-52
1782102846199,19.909826278686523,-52
1782102846211,19.841115951538086,-51
1782102846223,19.82478141784668,-52
1782102846233,20.22738265991211,-52
1782102846243,19.95136070251465,-51
1782102846265,20.409334182739258,-51
1782102846276,20.330249786376953,-51
1782102846290,20.495986938476562,-51
1782102846302,20.358074188232422,-51
1782102846311,20.678478240966797,-51
1782102846321,20.64598846435547,-51
1782102846332,20.84471893310547,-50
1782102846343,20.87303352355957,-51
1782102846356,20.964862823486328,-51
1782102846365,21.27174949645996,-51
1782102846376,21.513795852661133,-51
1782102846388,21.45703887939453,-50
1782102846399,21.519134521484375,-51
1782102846422,21.845165252685547,-51
1782102846433,21.67705726623535,-51
1782102846444,22.017826080322266,-51
1782102846457,22.19517707824707,-51
1782102846468,22.049789428710938,-50
1782102846475,22.413389205932617,-51
1782102846486,22.752405166625977,-51
1782102846498,22.641780853271484,-51
1782102846509,22.95701789855957,-50
1782102846518,22.82628631591797,-49
1782102846529,23.03006362915039,-49
