time_ms,amp,rssi
1782318769875,81.16112518310547,-64
1782318769886,81.09487915039062,-64
1782318769897,81.05072021484375,-64
1782318769908,82.16077423095703,-64
1782318769919,81.7253189086914,-64
1782318769930,83.46247100830078,-64
1782318769941,80.62898254394531,-64
1782318769952,81.5604476928711,-64
1782318769963,81.41405487060547,-64
1782318769974,82.0202407836914,-64
1782318769985,81.54517364501953,-64
1782318769996,81.03985595703125,-64
1782318770007,82.09918212890625,-64
1782318770018,82.2884292602539,-64
1782318770029,81.40926361083984,-64
1782318770040,81.20793151855469,-64
1782318770051,82.07391357421875,-64
1782318770062,80.23877716064453,-64
1782318770073,81.60540771484375,-64
1782318770084,81.51631164550781,-64
1782318770095,81.32189178466797,-64
1782318770106,81.4582290649414,-64
1782318770117,81.45584869384766,-64
1782318770128,81.65298461914062,-64
1782318770139,82.66078186035156,-64
1782318770150,82.46483612060547,-64
1782318770161,80.87647247314453,-64
1782318770172,82.09851837158203,-64
1782318770183,81.26477813720703,-64
1782318770194,82.43457794189453,-64
1782318770205,82.32103729248047,-64
1782318770216,81.4679946899414,-64
1782318770227,81.84201049804688,-64
1782318770238,81.42599487304688,-64
1782318770249,80.90609741210938,-64
1782318770260,81.85526275634766,-64
1782318770271,81.85922241210938,-64
1782318770282,80.47036743164062,-64
1782318770293,82.53340148925781,-64
1782318770304,81.90229034423828,-64
1782318770315,81.82186126708984,-64
1782318770326,81.44091033935547,-64
1782318770337,84.40589904785156,-64
1782318770348,81.57107543945312,-64
1782318770359,80.34198760986328,-64
1782318770370,82.2030029296875,-64
1782318770381,81.24144744873047,-64
1782318770392,81.3058853149414,-64
1782318770403,83.02165222167969,-64
1782318770414,86.03069305419922,-64
1782318770425,81.3113784790039,-64
1782318770436,81.08834838867188,-64
1782318770447,81.42181396484375,-64
1782318770458,82.75507354736328,-64
1782318770469,80.48554992675781,-64
1782318770480,82.02661895751953,-64
1782318770491,82.84697723388672,-64
1782318770502,81.66908264160156,-64
1782318770513,83.19158935546875,-64
1782318770524,81.13565063476562,-64
1782318770535,81.16421508789062,-64
1782318770546,80.41194152832031,-64
1782318770557,82.34193420410156,-64
1782318770568,81.41917419433594,-64
1782318770579,83.69609069824219,-64
1782318770590,81.57168579101562,-64
1782318770601,81.56901550292969,-64
1782318770612,82.23328399658203,-64
1782318770623,81.77742767333984,-64
1782318770634,81.30905151367188,-64
1782318770645,82.11577606201172,-64
1782318770656,82.15906524658203,-64
1782318770667,82.14070129394531,-64
1782318770678,81.26051330566406,-64
1782318770689,81.8563232421875,-64
1782318770700,81.03596496582031,-64
1782318770711,80.88736724853516,-64
1782318770722,81.61499786376953,-64
1782318770733,84.81449890136719,-64
1782318770744,82.07998657226562,-64
1782318770755,82.07736206054688,-64
1782318770766,81.35066986083984,-64
1782318770777,81.69085693359375,-64
1782318770788,80.99995422363281,-64
1782318770799,81.75863647460938,-64
1782318770810,81.00602722167969,-64
1782318770821,81.42011260986328,-64
1782318770832,81.54708862304688,-64
1782318770843,81.47135162353516,-64
1782318770854,81.7947998046875,-64
1782318770865,81.76641082763672,-64
1782318770876,82.10392761230469,-64
1782318770887,84.10691833496094,-64
1782318770898,82.13027954101562,-64
1782318770909,82.2824935913086,-64
1782318770920,82.23797607421875,-64
1782318770931,83.11599731445312,-64
1782318770942,81.91950988769531,-64
1782318770953,80.35873413085938,-64
1782318770964,81.11385345458984,-64
1782318770975,81.19691467285156,-64
1782318770986,82.23521423339844,-64
1782318770997,82.03543853759766,-64
1782318771008,81.51948547363281,-64
1782318771019,81.2424545288086,-64
1782318771030,80.75440979003906,-64
1782318771041,82.61707305908203,-64
