time_ms,amp,rssi
1782197919811,16.078184127807617,-57
1782197919824,16.174076080322266,-57
1782197919831,15.929208755493164,-57
1782197919836,16.303003311157227,-57
1782197919843,16.457292556762695,-57
1782197919849,16.063283920288086,-57
1782197919856,16.44525909423828,-57
1782197919863,16.02634620666504,-57
1782197919871,16.14818572998047,-57
1782197919877,16.511754989624023,-57
1782197919884,16.02257537841797,-57
1782197919890,16.407886505126953,-57
1782197919898,16.405208587646484,-57
1782197919904,16.4412784576416,-57
1782197919911,16.511680603027344,-57
1782197919920,16.44841957092285,-57
1782197919926,16.003883361816406,-57
1782197919932,16.165321350097656,-57
1782197919939,16.473285675048828,-57
1782197919946,16.272096633911133,-57
1782197919953,15.897134780883789,-57
1782197919961,16.279769897460938,-57
1782197919968,16.34705924987793,-57
1782197919975,16.43669319152832,-57
1782197919982,16.441669464111328,-57
1782197919988,16.565143585205078,-57
1782197919995,16.468971252441406,-57
1782197920002,16.526042938232422,-57
1782197920011,14.993488311767578,-58
1782197920018,15.090503692626953,-58
1782197920026,15.178997039794922,-58
1782197920033,15.434416770935059,-57
1782197920040,15.9811429977417,-58
1782197920048,15.918476104736328,-57
1782197920056,16.07390785217285,-57
1782197920065,16.2949161529541,-57
1782197920073,16.134729385375977,-57
1782197920081,16.58952522277832,-57
1782197920089,16.111682891845703,-57
1782197920095,16.43453598022461,-57
1782197920103,15.996477127075195,-56
1782197920110,15.723176002502441,-57
1782197920116,15.545665740966797,-57
1782197920124,15.394054412841797,-57
1782197920132,15.393001556396484,-56
1782197920141,14.673827171325684,-57
1782197920150,14.904146194458008,-57
1782197920159,14.676881790161133,-57
1782197920169,14.334362983703613,-57
1782197920177,14.236797332763672,-57
1782197920185,14.314339637756348,-57
1782197920192,14.150115013122559,-57
1782197920201,14.057536125183105,-58
1782197920208,14.081690788269043,-58
1782197920217,13.893031120300293,-58
1782197920225,13.857224464416504,-58
1782197920233,13.736170768737793,-58
1782197920243,13.633248329162598,-59
1782197920252,13.645246505737305,-59
1782197920259,13.579862594604492,-59
1782197920269,13.508230209350586,-59
1782197920276,13.597113609313965,-59
1782197920284,13.762184143066406,-59
1782197920292,14.029801368713379,-59
1782197920300,14.108108520507812,-59
1782197920314,14.272165298461914,-58
1782197920323,14.137166976928711,-58
1782197920337,14.060617446899414,-58
1782197920350,14.039716720581055,-58
1782197920359,13.910147666931152,-58
1782197920370,13.978470802307129,-58
1782197920392,13.99913501739502,-56
1782197920418,14.200533866882324,-57
1782197920429,14.86257553100586,-55
1782197920445,15.401183128356934,-54
1782197920472,15.61815357208252,-54
1782197920489,16.094202041625977,-53
1782197920500,16.219959259033203,-53
1782197920510,16.327878952026367,-53
1782197920519,16.786542892456055,-52
1782197920528,17.361268997192383,-52
1782197920541,17.752655029296875,-52
1782197920552,18.122482299804688,-52
1782197920562,18.267810821533203,-52
1782197920571,18.837989807128906,-52
1782197920578,18.983509063720703,-52
